EPOCH                                                       B_R                             B_T                             B_N
dd-mm-yyyy hh:mm:ss.mil.mic.nan                              nT                              nT                              nT
19-01-2024 03:50:30.000.000.447                         3.65983                       -0.894224                         1.97369
19-01-2024 03:51:29.999.996.870                         3.36425                        -1.88213                         2.12934
19-01-2024 03:52:30.000.003.352                         3.03818                        -1.99399                         1.82766
19-01-2024 03:53:29.999.999.776                         2.47313                        -2.21387                         2.21597
19-01-2024 03:54:29.999.996.200                         2.81681                        -2.20950                         1.64807
19-01-2024 03:55:30.000.002.682                         2.76395                        -1.49444                         2.70975
19-01-2024 03:56:29.999.999.105                         2.00051                        -3.01851                         1.27355
19-01-2024 03:57:29.999.995.529                         3.63212                        0.652295                         2.09347
19-01-2024 03:58:30.000.002.011                         3.34534                         1.50135                         3.29293
19-01-2024 03:59:29.999.998.435                         3.57528                         1.75867                         2.83582
19-01-2024 04:00:30.000.004.917                         2.84847                        0.778506                         3.64580
19-01-2024 04:01:30.000.001.341                         2.70478                        0.662786                         3.94344
19-01-2024 04:02:29.999.997.764                         2.69313                         1.85760                         3.61472
19-01-2024 04:03:30.000.004.246                         2.65230                         1.48257                         3.68307
19-01-2024 04:04:30.000.000.670                         2.67136                         1.86789                         3.37976
19-01-2024 04:05:29.999.997.094                         2.17799                         2.62078                         3.37398
19-01-2024 04:06:30.000.003.576                         2.48633                         2.24169                         3.38849
19-01-2024 04:07:30.000.000.000                         1.14301                         3.57604                         3.10024
19-01-2024 04:08:29.999.996.423                         1.35061                         3.49134                         3.33695
19-01-2024 04:09:30.000.002.905                         1.14902                         2.66232                         4.03750
19-01-2024 04:10:29.999.999.329                         1.37256                         3.45541                         3.47326
19-01-2024 04:11:29.999.995.753                         1.68661                         3.43954                         3.34387
19-01-2024 04:12:30.000.002.235                         1.84558                         3.66354                         2.86508
19-01-2024 04:13:29.999.998.658                         2.79390                         3.84477                         2.27692
19-01-2024 04:14:29.999.995.082                         2.51388                         3.70078                         2.54810
19-01-2024 04:15:30.000.001.564                         2.52170                         3.46726                         2.93438
19-01-2024 04:16:29.999.997.988                         2.74856                         3.00308                         2.93557
19-01-2024 04:17:30.000.004.470                         3.14717                         2.69147                         2.59193
19-01-2024 04:18:30.000.000.894                         4.42865                         1.27851                         1.37181
19-01-2024 04:19:29.999.997.317                         4.38888                        -1.40949                        0.378393
19-01-2024 04:20:30.000.003.799                         4.39485                        -2.25427                       0.0554889
19-01-2024 04:21:30.000.000.223                         3.63915                        -3.02756                       -0.374999
19-01-2024 04:22:29.999.996.647                         3.67506                        -3.25629                       -0.209685
19-01-2024 04:23:30.000.003.129                         3.75494                        -2.71980                       -0.641502
19-01-2024 04:24:29.999.999.552                         3.98964                        -2.20736                       -0.642159
19-01-2024 04:25:29.999.995.976                         4.19142                        -2.08962                       -0.749833
19-01-2024 04:26:30.000.002.458                         3.97458                        -2.29518                       -0.594935
19-01-2024 04:27:29.999.998.882                         3.67291                        -2.37296                        -1.27911
19-01-2024 04:28:29.999.995.306                         4.05101                        -1.26301                        -1.51291
19-01-2024 04:29:30.000.001.788                         3.69915                        -2.15578                        -1.24265
19-01-2024 04:30:29.999.998.211                         3.79860                        -2.00624                        -1.45100
19-01-2024 04:31:30.000.004.693                         4.06325                        -1.03587                       -0.526423
19-01-2024 04:32:30.000.001.117                         2.83619                         3.39283                       -0.783859
19-01-2024 04:33:29.999.997.541                         3.57893                         2.46771                       -0.508275
19-01-2024 04:34:30.000.004.023                         3.70442                         2.14947                       -0.937894
19-01-2024 04:35:30.000.000.447                         3.28655                        -1.92020                        -2.82177
19-01-2024 04:36:29.999.996.870                         4.23698                      -0.0501232                        -2.42547
19-01-2024 04:37:30.000.003.352                         4.27489                        0.496754                        -2.26418
19-01-2024 04:38:29.999.999.776                         4.51678                       -0.706870                        -1.62094
19-01-2024 04:39:29.999.996.200                         4.34040                      -0.0291080                        -2.10802
19-01-2024 04:40:30.000.002.682                         4.45540                       -0.399511                        -1.81488
19-01-2024 04:41:29.999.999.105                         4.16539                        -1.07907                        -1.72414
19-01-2024 04:42:29.999.995.529                         4.06802                        -1.12046                        -1.90927
19-01-2024 04:43:30.000.002.011                         3.93543                        -1.02388                        -2.12227
19-01-2024 04:44:29.999.998.435                         3.99576                        -1.11049                        -1.83237
19-01-2024 04:45:30.000.004.917                         4.09536                        -1.49408                        -1.72262
19-01-2024 04:46:30.000.001.341                         3.74450                        -1.77109                        -2.09508
19-01-2024 04:47:29.999.997.764                         3.71454                        -2.01735                        -1.80463
19-01-2024 04:48:30.000.004.246                         3.66135                        -2.47335                        -1.52168
19-01-2024 04:49:30.000.000.670                         3.30363                        -2.29756                        -2.26236
19-01-2024 04:50:29.999.997.094                         3.06358                        -3.25975                        -2.12357
19-01-2024 04:51:30.000.003.576                         2.73117                        -3.86720                        -1.54612
19-01-2024 04:52:30.000.000.000                         3.42168                        -3.67475                       -0.821135
19-01-2024 04:53:29.999.996.423                         2.85986                        -3.84868                        -1.94399
19-01-2024 04:54:30.000.002.905                         2.85794                        -3.86450                        -1.68000
19-01-2024 04:55:29.999.999.329                         2.35862                        -3.82089                        -2.20547
19-01-2024 04:56:29.999.995.753                         2.55179                        -3.76725                        -1.84136
19-01-2024 04:57:30.000.002.235                         2.64189                        -3.83466                        -2.06292
19-01-2024 04:58:29.999.998.658                         2.20595                        -4.16841                        -1.79383
19-01-2024 04:59:29.999.995.082                         2.22476                        -3.87223                        -2.31369
19-01-2024 05:00:30.000.001.564                         2.67690                        -3.99080                        -2.60505
19-01-2024 05:01:29.999.997.988                         2.59485                        -3.87444                        -2.64103
19-01-2024 05:02:30.000.004.470                         1.39573                        -2.93730                        -2.52255
19-01-2024 05:03:30.000.000.894                         1.84656                        -3.14171                        -2.09346
19-01-2024 05:04:29.999.997.317                         1.85378                        -3.21024                        -1.38019
